year_month,monthly_pnl,num_trades,avg_trade_pnl,num_symbols,cumulative_pnl,monthly_return_pct,cumulative_return_pct,winning_month
2019-04,459.46,2,229.73,2,459.46,4594.599999999999,4594.599999999999,True
2019-05,-278.64,2,-139.32,2,180.82,-2786.3999999999996,1808.2,False
2019-06,4.42,2,2.21,1,185.23999999999998,44.2,1852.3999999999996,True
2019-07,266.21,4,66.55,3,451.44999999999993,2662.1,4514.5,True
2019-08,7.31,2,3.65,1,458.75999999999993,73.1,4587.599999999999,True
2019-09,282.18,6,47.03,3,740.9399999999999,2821.8,7409.4,True
2019-11,16.53,4,4.13,2,757.4699999999999,165.3,7574.699999999999,True
2019-12,-6.73,2,-3.37,2,750.7399999999999,-67.30000000000001,7507.399999999999,False
2020-01,482.11,5,96.42,3,1232.85,4821.099999999999,12328.5,True
2020-04,-180.62,4,-45.15,3,1052.23,-1806.2,10522.3,False
2020-07,701.0,4,175.25,1,1753.23,7009.999999999999,17532.3,True
2020-08,-114.0,3,-38.0,1,1639.23,-1140.0,16392.3,False
2020-10,-197.0,1,-197.0,1,1442.23,-1970.0,14422.300000000001,False
