symbol,direction,entry_price,exit_price,entry_time,exit_time,lot_size,pnl,duration,status
EURUSD,SELL,1.1258978843688965,1.122435212135315,2019-04-23 00:00:00+01:00,2019-04-24 00:00:00+01:00,0.01,3.4626722335815434,1 days,CLOSED
EURUSD,SELL,1.1207244396209717,1.1173559427261353,2019-05-16 00:00:00+01:00,2019-05-17 00:00:00+01:00,0.01,3.368496894836426,1 days,CLOSED
EURUSD,SELL,1.1177055835723877,1.1143302917480469,2019-08-14 00:00:00+01:00,2019-08-15 00:00:00+01:00,0.01,3.3752918243408203,1 days,CLOSED
EURUSD,SELL,1.1143054962158203,1.1103708744049072,2019-08-26 00:00:00+01:00,2019-08-27 00:00:00+01:00,0.01,3.934621810913086,1 days,CLOSED
EURUSD,SELL,1.1058276891708374,1.1083402633666992,2019-09-13 00:00:00+01:00,2019-09-16 00:00:00+01:00,0.01,-2.5125741958618164,3 days,CLOSED
EURUSD,SELL,1.1048502922058105,1.1019041538238525,2019-09-20 00:00:00+01:00,2019-09-23 00:00:00+01:00,0.01,2.946138381958008,3 days,CLOSED
EURUSD,SELL,1.109385371208191,1.1182304620742798,2019-12-24 00:00:00+00:00,2019-12-30 00:00:00+00:00,0.01,-8.845090866088867,6 days,CLOSED
EURUSD,BUY,1.1139578819274902,1.1094592809677124,2020-01-17 00:00:00+00:00,2020-01-20 00:00:00+00:00,0.01,-4.498600959777832,3 days,CLOSED
EURUSD,SELL,1.0927408933639526,1.098538875579834,2020-04-10 00:00:00+01:00,2020-04-15 00:00:00+01:00,0.01,-5.797982215881348,5 days,CLOSED
USDJPY,BUY,110.99500274658203,111.45099639892578,2019-04-01 00:00:00+01:00,2019-04-02 00:00:00+01:00,0.01,455.99365234375006,1 days,CLOSED
USDJPY,BUY,111.677001953125,111.3949966430664,2019-04-30 00:00:00+01:00,2019-05-01 00:00:00+01:00,0.01,-282.00531005859375,1 days,CLOSED
USDJPY,SELL,108.20099639892578,107.93699645996094,2019-07-17 00:00:00+01:00,2019-07-18 00:00:00+01:00,0.01,263.99993896484375,1 days,CLOSED
